x,y,z
-9.538536008,-9.274557574,28.6360444
-9.505741943,-9.116581471,28.74673049
-9.460652728,-8.951013141,28.83579933
-9.403829879,-8.7801894,28.90229294
-9.336006004,-8.606484226,28.94562218
-9.258069346,-8.432253708,28.96556476
-9.171044711,-8.259784479,28.96225289
-9.076071559,-8.091247665,28.93615164
-8.974380143,-7.928659906,28.8880298
-8.867266597,-7.773852497,28.81892512
-8.756067884,-7.628449159,28.73010586
-8.642137435,-7.493852417,28.62303065
-8.526822223,-7.371238118,28.49930846
-8.411441848,-7.261557246,28.36066016
-8.297270113,-7.165543953,28.20888293
-8.185519362,-7.083728518,28.04581834
-8.077327728,-7.016453968,27.87332472
-7.973749306,-6.96389503,27.69325398
-7.875747123,-6.926078275,27.50743296
-7.78418871,-6.90290237,27.317649
-7.699843988,-6.894157588,27.12563939
-7.623385146,-6.899543868,26.93308422
-7.555388154,-6.918686914,26.74160217
-7.496335549,-6.951151976,26.55274847
-7.44662015,-6.996455104,26.36801477
-7.406549352,-7.054071803,26.18883016
-7.376349718,-7.123443096,26.01656297
-7.356171578,-7.203979114,25.85252287
-7.346093425,-7.295060358,25.69796287
-7.346125901,-7.396036873,25.55408096
-7.356215235,-7.506225556,25.42202088
-7.376246022,-7.62490591,25.30287191
-7.406043261,-7.751314523,25.19766742
-7.445373632,-7.884638626,25.10738188
-7.49394601,-8.024009074,25.03292619
-7.551411241,-8.168493133,24.97514122
-7.617361269,-8.3170875,24.93478939
-7.691327709,-8.468711992,24.91254427
-7.772780007,-8.622204386,24.90897814
-7.861123364,-8.77631694,24.92454764
-7.955696629,-8.92971511,24.95957768
-8.055770404,-9.080979038,25.01424369
-8.160545624,-9.228608354,25.08855295
-8.26915292,-9.371030827,25.18232513
-8.380653071,-9.506615313,25.29517305
-8.494038866,-9.633689392,25.42648422
-8.608238716,-9.750561892,25.57540441
-8.722122298,-9.855550343,25.74082405
-8.834508514,-9.947013138,25.92136897
-8.944175954,-10.02338589,26.11539642
-9.049876009,-10.08322116,26.32099782
-9.150348618,-10.12523037,26.53600905
-9.244340564,-10.14832644,26.75802942
-9.330626035,-10.15166527,26.98444958
-9.40802905,-10.13468415,27.2124886
-9.475447154,-10.09713487,27.43923979
-9.531875667,-10.03910954,27.66172435
-9.576431647,-9.961057068,27.87695114
-9.608376609,-9.863788869,28.08198072
-9.627137059,-9.748472624,28.27399106
-9.632321868,-9.616613763,28.45034223
-9.623735645,-9.470024918,28.60863704
-9.601387375,-9.310784411,28.74677509
-9.565493828,-9.141185495,28.8629976
-9.516477443,-8.963678683,28.95592118
-9.454958711,-8.780809881,29.02455928
-9.381743305,-8.595157274,29.06833066
-9.297804501,-8.409269875,29.0870553
-9.204261608,-8.225610444,29.0809385
-9.102355343,-8.046505037,29.05054483
-8.993421142,-7.874100924,28.99676383
-8.87886147,-7.710333973,28.92076983
-8.760118151,-7.556905962,28.823978
-8.63864565,-7.415271687,28.70799913
-8.515886134,-7.286635202,28.57459495
-8.393246946,-7.171954135,28.42563575
-8.272080982,-7.071950734,28.26306163
-8.153670251,-6.987128178,28.08884828
-8.039212743,-6.917790601,27.9049777
-7.929812577,-6.864065386,27.71341425
-7.826473258,-6.825926403,27.51608571
-7.730093787,-6.803217024,27.31486913
-7.641467276,-6.795672,27.11158101
-7.561281689,-6.802937449,26.9079711
-7.490122301,-6.824588442,26.70571933
-7.428475456,-6.860143849,26.50643516
-7.376733246,-6.909078256,26.31165866
-7.335198721,-6.970830926,26.12286294
-7.304091322,-7.044811839,25.94145716
-7.283552231,-7.130404983,25.76878985
-7.273649392,-7.226969078,25.60615197
-7.274382016,-7.333835999,25.45477943
-7.285684405,-7.450307168,25.31585472
-7.307428972,-7.575648233,25.1905073
-7.339428411,-7.709082365,25.07981264
-7.381436961,-7.849782513,24.98478949
-7.433150779,-7.996863019,24.90639531
-7.494207467,-8.149370981,24.84551966
-7.564184826,-8.306277805,24.80297539
-7.642598959,-8.466471446,24.77948763
-7.728901861,-8.62874983,24.77568036
